




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H3F3A.intersect_with_DeepZ.unique.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3F3A.intersect_with_DeepZ.unique.txt (4924)	H3F3A.intersect_with_DeepZ.unique.txt (expected)	H3F3A.intersect_with_DeepZ.unique.txt (over/under)	H3F3A.intersect_with_DeepZ.unique.txt (fold Enrichment)	H3F3A.intersect_with_DeepZ.unique.txt (raw P-value)	H3F3A.intersect_with_DeepZ.unique.txt (FDR)
response to reactive oxygen species (GO:0000302)	186	74	44.47	+	1.66	3.50E-04	1.34E-02
RNA metabolic process (GO:0016070)	1403	558	335.44	+	1.66	1.68E-24	5.99E-22
rRNA processing (GO:0006364)	219	87	52.36	+	1.66	1.03E-04	5.03E-03
positive regulation of protein catabolic process (GO:0045732)	237	94	56.66	+	1.66	5.85E-05	3.06E-03
non-membrane-bounded organelle assembly (GO:0140694)	303	120	72.44	+	1.66	5.19E-06	3.22E-04
cellular response to insulin stimulus (GO:0032869)	149	59	35.62	+	1.66	1.43E-03	4.33E-02
protein-DNA complex assembly (GO:0065004)	167	66	39.93	+	1.65	8.01E-04	2.71E-02
nucleic acid metabolic process (GO:0090304)	2007	791	479.85	+	1.65	2.83E-34	2.47E-31
mitotic cell cycle (GO:0000278)	599	236	143.21	+	1.65	1.94E-10	2.24E-08
cellular response to oxygen levels (GO:0071453)	160	63	38.25	+	1.65	1.14E-03	3.58E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	602	237	143.93	+	1.65	2.12E-10	2.43E-08
establishment of protein localization to organelle (GO:0072594)	300	118	71.73	+	1.65	8.25E-06	4.89E-04
mitotic cell cycle process (GO:1903047)	509	200	121.70	+	1.64	5.82E-09	5.68E-07
methylation (GO:0032259)	306	120	73.16	+	1.64	7.54E-06	4.53E-04
cellular protein catabolic process (GO:0044257)	629	246	150.39	+	1.64	1.56E-10	1.81E-08
regulation of apoptotic signaling pathway (GO:2001233)	348	136	83.20	+	1.63	2.21E-06	1.44E-04
macromolecule catabolic process (GO:0009057)	909	355	217.33	+	1.63	8.80E-15	1.43E-12
nucleobase-containing compound transport (GO:0015931)	223	87	53.32	+	1.63	1.58E-04	7.00E-03
negative regulation of apoptotic signaling pathway (GO:2001234)	221	86	52.84	+	1.63	1.94E-04	8.20E-03
negative regulation of transferase activity (GO:0051348)	270	105	64.55	+	1.63	4.00E-05	2.15E-03
regulation of protein stability (GO:0031647)	306	119	73.16	+	1.63	1.29E-05	7.38E-04
chromosome organization (GO:0051276)	1021	397	244.11	+	1.63	2.91E-16	5.32E-14
viral process (GO:0016032)	253	98	60.49	+	1.62	9.51E-05	4.68E-03
negative regulation of mitotic cell cycle (GO:0045930)	204	79	48.77	+	1.62	4.59E-04	1.69E-02
response to endoplasmic reticulum stress (GO:0034976)	217	84	51.88	+	1.62	2.95E-04	1.18E-02
in utero embryonic development (GO:0001701)	367	142	87.74	+	1.62	2.21E-06	1.43E-04
cell cycle process (GO:0022402)	802	310	191.75	+	1.62	1.55E-12	2.24E-10
negative regulation of cell cycle phase transition (GO:1901988)	207	80	49.49	+	1.62	3.85E-04	1.46E-02
mitochondrion organization (GO:0007005)	409	158	97.79	+	1.62	6.45E-07	4.67E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	277	107	66.23	+	1.62	3.81E-05	2.06E-03
transcription, DNA-templated (GO:0006351)	394	152	94.20	+	1.61	9.62E-07	6.84E-05
rhythmic process (GO:0048511)	267	103	63.84	+	1.61	6.30E-05	3.27E-03
protein catabolic process (GO:0030163)	682	263	163.06	+	1.61	1.05E-10	1.25E-08
nucleic acid-templated transcription (GO:0097659)	395	152	94.44	+	1.61	1.27E-06	8.71E-05
positive regulation of DNA metabolic process (GO:0051054)	203	78	48.53	+	1.61	5.85E-04	2.10E-02
cell cycle (GO:0007049)	1205	463	288.10	+	1.61	4.11E-18	9.65E-16
regulation of neuron differentiation (GO:0045664)	193	74	46.14	+	1.60	7.66E-04	2.62E-02
DNA packaging (GO:0006323)	180	69	43.04	+	1.60	1.19E-03	3.71E-02
RNA biosynthetic process (GO:0032774)	407	156	97.31	+	1.60	1.04E-06	7.26E-05
cellular protein-containing complex assembly (GO:0034622)	780	298	186.49	+	1.60	1.23E-11	1.61E-09
endosomal transport (GO:0016197)	220	84	52.60	+	1.60	4.20E-04	1.58E-02
ATP metabolic process (GO:0046034)	202	77	48.30	+	1.59	7.45E-04	2.56E-02
regulation of chromosome organization (GO:0033044)	286	109	68.38	+	1.59	6.23E-05	3.24E-03
heterocycle catabolic process (GO:0046700)	315	120	75.31	+	1.59	2.20E-05	1.23E-03
protein polyubiquitination (GO:0000209)	218	83	52.12	+	1.59	5.19E-04	1.88E-02
DNA replication (GO:0006260)	192	73	45.90	+	1.59	9.81E-04	3.22E-02
negative regulation of kinase activity (GO:0033673)	229	87	54.75	+	1.59	3.23E-04	1.26E-02
cellular response to oxidative stress (GO:0034599)	224	85	53.56	+	1.59	4.68E-04	1.71E-02
apoptotic signaling pathway (GO:0097190)	272	103	65.03	+	1.58	1.22E-04	5.78E-03
regulation of cellular response to stress (GO:0080135)	637	241	152.30	+	1.58	2.74E-09	2.79E-07
cellular nitrogen compound biosynthetic process (GO:0044271)	1289	486	308.18	+	1.58	9.27E-18	2.14E-15
aromatic compound catabolic process (GO:0019439)	337	127	80.57	+	1.58	2.29E-05	1.27E-03
DNA metabolic process (GO:0006259)	714	269	170.71	+	1.58	4.04E-10	4.53E-08
double-strand break repair (GO:0006302)	189	71	45.19	+	1.57	1.53E-03	4.57E-02
negative regulation of protein kinase activity (GO:0006469)	205	77	49.01	+	1.57	1.05E-03	3.38E-02
cellular response to chemical stress (GO:0062197)	269	101	64.31	+	1.57	1.89E-04	8.09E-03
nucleobase-containing compound metabolic process (GO:0006139)	2474	926	591.50	+	1.57	7.71E-34	6.38E-31
negative regulation of cell cycle process (GO:0010948)	254	95	60.73	+	1.56	2.81E-04	1.14E-02
cellular response to stress (GO:0033554)	1519	568	363.17	+	1.56	3.99E-20	1.10E-17
negative regulation of protein modification process (GO:0031400)	500	186	119.54	+	1.56	5.05E-07	3.71E-05
positive regulation of cell cycle (GO:0045787)	307	114	73.40	+	1.55	8.36E-05	4.21E-03
cellular nitrogen compound catabolic process (GO:0044270)	321	119	76.75	+	1.55	6.97E-05	3.59E-03
gene expression (GO:0010467)	1992	737	476.26	+	1.55	2.76E-25	1.11E-22
cellular macromolecule biosynthetic process (GO:0034645)	1368	505	327.07	+	1.54	4.52E-17	9.74E-15
regulation of cell cycle phase transition (GO:1901987)	366	135	87.51	+	1.54	2.77E-05	1.53E-03
regulation of mitotic cell cycle (GO:0007346)	433	159	103.52	+	1.54	5.49E-06	3.40E-04
macromolecule biosynthetic process (GO:0009059)	1391	509	332.57	+	1.53	1.22E-16	2.46E-14
negative regulation of cellular catabolic process (GO:0031330)	257	94	61.45	+	1.53	6.28E-04	2.21E-02
heterocycle metabolic process (GO:0046483)	2625	960	627.60	+	1.53	2.81E-32	2.10E-29
protein modification by small protein conjugation (GO:0032446)	710	259	169.75	+	1.53	9.03E-09	8.71E-07
positive regulation of cellular catabolic process (GO:0031331)	425	155	101.61	+	1.53	1.18E-05	6.78E-04
transcription by RNA polymerase II (GO:0006366)	247	90	59.05	+	1.52	8.22E-04	2.77E-02
negative regulation of catabolic process (GO:0009895)	316	115	75.55	+	1.52	1.65E-04	7.22E-03
regulation of cell cycle (GO:0051726)	1001	364	239.33	+	1.52	8.62E-12	1.15E-09
cellular aromatic compound metabolic process (GO:0006725)	2688	974	642.67	+	1.52	1.31E-31	8.56E-29
positive regulation of macromolecule biosynthetic process (GO:0010557)	1847	669	441.59	+	1.51	5.31E-21	1.61E-18
positive regulation of RNA metabolic process (GO:0051254)	1737	629	415.29	+	1.51	1.01E-19	2.61E-17
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1902	688	454.74	+	1.51	1.39E-21	4.55E-19
regulation of cellular catabolic process (GO:0031329)	813	294	194.38	+	1.51	1.76E-09	1.83E-07
protein ubiquitination (GO:0016567)	661	239	158.04	+	1.51	6.84E-08	5.91E-06
regulation of catabolic process (GO:0009894)	956	345	228.57	+	1.51	7.27E-11	8.85E-09
protein-containing complex subunit organization (GO:0043933)	1337	482	319.66	+	1.51	8.02E-15	1.31E-12
positive regulation of catabolic process (GO:0009896)	494	178	118.11	+	1.51	3.84E-06	2.43E-04
cellular amide metabolic process (GO:0043603)	780	281	186.49	+	1.51	5.79E-09	5.69E-07
cellular nitrogen compound metabolic process (GO:0034641)	3193	1150	763.41	+	1.51	2.84E-37	3.72E-34
protein localization to organelle (GO:0033365)	640	230	153.02	+	1.50	1.79E-07	1.43E-05
regulation of neurogenesis (GO:0050767)	359	129	85.83	+	1.50	9.96E-05	4.89E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1538	552	367.72	+	1.50	1.03E-16	2.11E-14
negative regulation of macromolecule biosynthetic process (GO:0010558)	1558	557	372.50	+	1.50	1.48E-16	2.95E-14
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1547	552	369.87	+	1.49	3.07E-16	5.54E-14
autophagy (GO:0006914)	272	97	65.03	+	1.49	1.08E-03	3.46E-02
process utilizing autophagic mechanism (GO:0061919)	272	97	65.03	+	1.49	1.08E-03	3.46E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	738	263	176.45	+	1.49	3.94E-08	3.56E-06
negative regulation of transcription by RNA polymerase II (GO:0000122)	932	332	222.83	+	1.49	5.67E-10	6.27E-08
protein modification by small protein conjugation or removal (GO:0070647)	849	302	202.98	+	1.49	4.41E-09	4.44E-07
negative regulation of organelle organization (GO:0010639)	335	119	80.09	+	1.49	3.03E-04	1.20E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1611	572	385.17	+	1.49	1.55E-16	3.05E-14
positive regulation of transcription, DNA-templated (GO:0045893)	1611	572	385.17	+	1.49	1.55E-16	3.01E-14
positive regulation of RNA biosynthetic process (GO:1902680)	1613	572	385.65	+	1.48	2.02E-16	3.86E-14
positive regulation of cellular biosynthetic process (GO:0031328)	1949	691	465.98	+	1.48	5.95E-20	1.61E-17
negative regulation of biosynthetic process (GO:0009890)	1649	584	394.25	+	1.48	9.83E-17	2.03E-14
negative regulation of cellular biosynthetic process (GO:0031327)	1616	572	386.36	+	1.48	2.67E-16	4.94E-14
negative regulation of cell cycle (GO:0045786)	345	122	82.49	+	1.48	2.92E-04	1.17E-02
organic cyclic compound catabolic process (GO:1901361)	365	129	87.27	+	1.48	1.76E-04	7.63E-03
negative regulation of RNA metabolic process (GO:0051253)	1433	506	342.61	+	1.48	2.41E-14	3.86E-12
regulation of intracellular transport (GO:0032386)	343	121	82.01	+	1.48	3.51E-04	1.34E-02
protein-containing complex assembly (GO:0065003)	1185	418	283.32	+	1.48	7.16E-12	9.78E-10
negative regulation of nucleic acid-templated transcription (GO:1903507)	1324	467	316.55	+	1.48	3.90E-13	5.89E-11
positive regulation of biosynthetic process (GO:0009891)	1985	700	474.59	+	1.47	1.09E-19	2.73E-17
negative regulation of phosphorylation (GO:0042326)	369	130	88.22	+	1.47	1.89E-04	8.08E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1326	467	317.03	+	1.47	4.06E-13	6.08E-11
negative regulation of transcription, DNA-templated (GO:0045892)	1322	465	316.07	+	1.47	5.86E-13	8.61E-11
microtubule cytoskeleton organization (GO:0000226)	521	183	124.56	+	1.47	9.98E-06	5.85E-04
organic cyclic compound metabolic process (GO:1901360)	2922	1024	698.61	+	1.47	6.28E-29	3.09E-26
positive regulation of proteolysis (GO:0045862)	371	130	88.70	+	1.47	2.42E-04	9.99E-03
peptidyl-amino acid modification (GO:0018193)	851	298	203.46	+	1.46	1.71E-08	1.62E-06
negative regulation of phosphate metabolic process (GO:0045936)	423	148	101.13	+	1.46	8.70E-05	4.33E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	1185	414	283.32	+	1.46	2.66E-11	3.40E-09
negative regulation of phosphorus metabolic process (GO:0010563)	424	148	101.37	+	1.46	1.09E-04	5.22E-03
regulation of cell cycle process (GO:0010564)	628	219	150.15	+	1.46	2.02E-06	1.34E-04
heterocycle biosynthetic process (GO:0018130)	809	282	193.42	+	1.46	5.83E-08	5.15E-06
